Brand,Model,Capacity,Energy Rating,Type,Features,Color,Material,Warranty Period,Country of Manufacture,Price,Random Numeric,Feature 1,Random Text Feature 2,Irrelevant Category Feature 3
Samsung,Model-47,500.0,3 Star,Top Freezer,No,Black,Steel,1 Year,Korea,720.0,40.0,Yes,Beta,CatB
LG,Model-48,300.0,5 Star,French Door,Yes,Silver,Steel,1 Year,Germany,1149.0,29.0,Yes,Beta,CatB
Samsung,Model-49,350.0,4 Star,Side by Side,No,Black,Aluminium,3 Years,China,1584.0,48.0,Yes,Beta,CatC
Samsung,Model-50,500.0,4 Star,Top Freezer,No,Blue,Plastic,3 Years,Korea,1671.0,11.0,No,Beta,CatA
Whirlpool,Model-51,400.0,5 Star,Bottom Freezer,Yes,Silver,Plastic,1 Year,China,1363.0,31.0,Yes,Alpha,CatB
Whirlpool,Model-52,250.0,3 Star,Bottom Freezer,No,Blue,Steel,2 Years,China,401.0,83.0,Yes,Beta,CatB
,,,,,,,,,,,,,,
Samsung,Model-54,250.0,5 Star,Bottom Freezer,Yes,Blue,Plastic,1 Year,Germany,1051.0,85.0,Yes,Gamma,CatC
,,,,,,,,,,,,,,
Siemens,Model-56,350.0,5 Star,Side by Side,Yes,Silver,Plastic,2 Years,Korea,515.0,5.0,Yes,Beta,CatC
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LG,Model-59,500.0,5 Star,Side by Side,Yes,Red,Plastic,2 Years,Korea,1300.0,34.0,Yes,Gamma,CatA
Bosch,Model-60,350.0,4 Star,Side by Side,Yes,Red,Plastic,2 Years,Korea,1196.0,88.0,No,Delta,CatA
Siemens,Model-61,500.0,5 Star,French Door,Yes,Red,Steel,1 Year,China,481.0,23.0,Yes,Alpha,CatC
,,,,,,,,,,,,,,
Siemens,Model-63,300.0,5 Star,Side by Side,Yes,Silver,Aluminium,1 Year,China,1542.0,27.0,No,Beta,CatB
Bosch,Model-64,400.0,5 Star,Bottom Freezer,No,Black,Plastic,1 Year,Korea,1208.0,57.0,Yes,Alpha,CatB
Siemens,Model-65,350.0,4 Star,French Door,Yes,Red,Plastic,3 Years,China,918.0,93.0,Yes,Gamma,CatA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Bosch,Model-69,500.0,5 Star,Bottom Freezer,No,Silver,Plastic,2 Years,China,425.0,6.0,No,Alpha,CatA
LG,Model-70,450.0,4 Star,French Door,Yes,Black,Plastic,3 Years,USA,1670.0,72.0,No,Delta,CatA
Samsung,Model-71,350.0,3 Star,Top Freezer,Yes,Black,Plastic,3 Years,China,1139.0,75.0,No,Alpha,CatC
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LG,Model-74,250.0,5 Star,Side by Side,No,White,Aluminium,2 Years,Germany,1158.0,15.0,Yes,Gamma,CatB
Siemens,Model-75,300.0,4 Star,Bottom Freezer,No,White,Aluminium,3 Years,Korea,832.0,64.0,Yes,Beta,CatC
Siemens,Model-76,500.0,3 Star,Side by Side,No,Silver,Steel,1 Year,China,620.0,13.0,No,Delta,CatC
Bosch,Model-77,350.0,5 Star,Side by Side,No,Silver,Plastic,2 Years,China,323.0,44.0,No,Beta,CatA
Bosch,Model-78,400.0,5 Star,Top Freezer,No,Blue,Plastic,1 Year,Germany,511.0,42.0,No,Delta,CatB
Bosch,Model-79,450.0,3 Star,Side by Side,No,White,Aluminium,2 Years,China,561.0,28.0,Yes,Gamma,CatB
Siemens,Model-80,300.0,5 Star,Bottom Freezer,Yes,Silver,Aluminium,3 Years,Germany,1927.0,57.0,No,Gamma,CatB
,,,,,,,,,,,,,,
Whirlpool,Model-82,500.0,4 Star,French Door,Yes,White,Steel,3 Years,Germany,1904.0,87.0,No,Delta,CatA
Bosch,Model-83,250.0,5 Star,Side by Side,No,Blue,Steel,1 Year,China,452.0,88.0,Yes,Beta,CatC
Whirlpool,Model-84,450.0,3 Star,Top Freezer,Yes,Silver,Steel,2 Years,Korea,1504.0,74.0,No,Gamma,CatA
LG,Model-85,250.0,4 Star,French Door,No,Silver,Steel,3 Years,USA,1566.0,80.0,No,Gamma,CatA
Samsung,Model-86,400.0,4 Star,French Door,No,Black,Aluminium,1 Year,Germany,1416.0,66.0,Yes,Delta,CatC
Siemens,Model-87,450.0,5 Star,Top Freezer,No,Silver,Aluminium,1 Year,Germany,320.0,4.0,No,Gamma,CatC
LG,Model-88,450.0,3 Star,Side by Side,Yes,Blue,Steel,3 Years,China,1489.0,42.0,No,Gamma,CatB
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Whirlpool,Model-91,400.0,5 Star,Bottom Freezer,No,Silver,Aluminium,2 Years,China,1077.0,78.0,Yes,Gamma,CatB
Whirlpool,Model-92,350.0,5 Star,French Door,No,Silver,Plastic,3 Years,Germany,1728.0,13.0,Yes,Alpha,CatC
LG,Model-93,350.0,5 Star,Side by Side,Yes,White,Aluminium,2 Years,Korea,560.0,67.0,Yes,Delta,CatA
Whirlpool,Model-94,350.0,4 Star,Top Freezer,No,Silver,Steel,2 Years,USA,1900.0,30.0,Yes,Delta,CatB
,,,,,,,,,,,,,,
Whirlpool,Model-96,350.0,4 Star,Top Freezer,Yes,White,Aluminium,2 Years,Germany,1619.0,32.0,No,Beta,CatB
Bosch,Model-97,400.0,3 Star,Bottom Freezer,No,Silver,Steel,3 Years,Korea,1933.0,72.0,No,Alpha,CatB
,,,,,,,,,,,,,,
Siemens,Model-99,250.0,5 Star,Top Freezer,No,Black,Aluminium,2 Years,China,914.0,31.0,No,Alpha,CatB
,,,,,,,,,,,,,,
Siemens,Model-101,250.0,4 Star,Top Freezer,No,White,Plastic,2 Years,USA,1620.0,19.0,No,Alpha,CatC
Samsung,Model-102,300.0,5 Star,Side by Side,No,White,Aluminium,1 Year,China,506.0,25.0,Yes,Gamma,CatC
,,,,,,,,,,,,,,
Samsung,Model-104,250.0,4 Star,Bottom Freezer,Yes,Black,Plastic,3 Years,China,1993.0,82.0,No,Gamma,CatA
Samsung,Model-105,500.0,4 Star,French Door,Yes,Black,Aluminium,1 Year,Korea,894.0,78.0,Yes,Alpha,CatA
Samsung,Model-106,350.0,4 Star,Side by Side,Yes,White,Plastic,2 Years,China,1190.0,84.0,Yes,Beta,CatA
Whirlpool,Model-107,300.0,3 Star,Side by Side,No,White,Steel,1 Year,Germany,1660.0,37.0,No,Alpha,CatA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Bosch,Model-110,450.0,5 Star,French Door,No,Black,Plastic,2 Years,China,802.0,5.0,No,Alpha,CatC
LG,Model-111,400.0,3 Star,French Door,No,Blue,Plastic,3 Years,USA,1717.0,36.0,Yes,Delta,CatC
Whirlpool,Model-112,450.0,3 Star,Top Freezer,Yes,White,Aluminium,2 Years,Korea,1864.0,66.0,Yes,Gamma,CatA
Bosch,Model-113,250.0,5 Star,French Door,Yes,Red,Plastic,3 Years,China,1352.0,31.0,Yes,Alpha,CatC
Bosch,Model-114,250.0,5 Star,French Door,Yes,Red,Aluminium,1 Year,China,311.0,64.0,Yes,Alpha,CatA
Siemens,Model-115,450.0,3 Star,Side by Side,No,Red,Aluminium,3 Years,Korea,474.0,36.0,No,Alpha,CatC
Whirlpool,Model-116,400.0,4 Star,Top Freezer,Yes,Silver,Aluminium,1 Year,Korea,657.0,81.0,No,Beta,CatB
Siemens,Model-117,450.0,5 Star,French Door,No,Black,Aluminium,2 Years,USA,628.0,51.0,No,Gamma,CatB
Samsung,Model-118,250.0,3 Star,French Door,Yes,Silver,Plastic,1 Year,Korea,1994.0,36.0,No,Delta,CatB
LG,Model-119,300.0,4 Star,Top Freezer,No,Black,Aluminium,1 Year,Germany,1004.0,19.0,Yes,Delta,CatC
Siemens,Model-120,350.0,5 Star,French Door,No,Red,Plastic,2 Years,Germany,1769.0,20.0,Yes,Gamma,CatA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Whirlpool,Model-123,500.0,3 Star,Side by Side,Yes,White,Plastic,3 Years,Germany,1056.0,2.0,No,Delta,CatA
LG,Model-124,500.0,4 Star,Side by Side,Yes,Black,Plastic,3 Years,USA,1183.0,10.0,No,Delta,CatB
Bosch,Model-125,500.0,5 Star,Top Freezer,No,Black,Plastic,1 Year,Germany,1379.0,38.0,Yes,Delta,CatA
Whirlpool,Model-126,450.0,3 Star,Bottom Freezer,No,Black,Steel,1 Year,Korea,1026.0,29.0,Yes,Delta,CatC
Samsung,Model-127,300.0,3 Star,Side by Side,Yes,Silver,Plastic,2 Years,China,1615.0,57.0,Yes,Gamma,CatC
LG,Model-128,400.0,4 Star,French Door,No,White,Steel,3 Years,USA,687.0,12.0,Yes,Beta,CatA
Samsung,Model-129,450.0,3 Star,Bottom Freezer,No,Blue,Plastic,2 Years,USA,1516.0,64.0,Yes,Beta,CatC
Whirlpool,Model-130,350.0,4 Star,French Door,No,Black,Plastic,1 Year,USA,1343.0,52.0,Yes,Delta,CatB
Whirlpool,Model-131,450.0,5 Star,Bottom Freezer,No,Black,Plastic,3 Years,China,1536.0,99.0,No,Beta,CatC
,,,,,,,,,,,,,,
Whirlpool,Model-133,350.0,5 Star,French Door,Yes,Red,Aluminium,1 Year,Germany,1415.0,86.0,No,Beta,CatB
Samsung,Model-134,300.0,4 Star,Top Freezer,Yes,Blue,Plastic,1 Year,Germany,936.0,7.0,Yes,Alpha,CatC
Siemens,Model-135,500.0,5 Star,Bottom Freezer,No,Black,Aluminium,3 Years,Germany,1541.0,28.0,Yes,Gamma,CatC
Whirlpool,Model-136,500.0,3 Star,French Door,No,Red,Aluminium,1 Year,USA,1013.0,81.0,Yes,Gamma,CatC
Siemens,Model-137,400.0,5 Star,Top Freezer,Yes,Silver,Plastic,3 Years,Korea,872.0,3.0,Yes,Gamma,CatA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LG,Model-140,300.0,3 Star,Side by Side,No,Red,Steel,3 Years,Korea,1179.0,22.0,Yes,Delta,CatA
Bosch,Model-141,450.0,5 Star,Top Freezer,No,Black,Plastic,2 Years,Korea,1591.0,63.0,Yes,Delta,CatC
Whirlpool,Model-142,300.0,3 Star,Side by Side,No,Silver,Steel,3 Years,Korea,317.0,60.0,No,Beta,CatA
,,,,,,,,,,,,,,
Whirlpool,Model-144,250.0,3 Star,Bottom Freezer,Yes,White,Plastic,3 Years,China,603.0,27.0,No,Gamma,CatA
,,,,,,,,,,,,,,
Samsung,Model-146,450.0,5 Star,Side by Side,No,Silver,Steel,1 Year,China,1444.0,56.0,No,Beta,CatB
Whirlpool,Model-147,300.0,5 Star,Top Freezer,Yes,Black,Steel,3 Years,Korea,331.0,40.0,Yes,Alpha,CatA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Siemens,Model-150,350.0,5 Star,Bottom Freezer,No,Black,Aluminium,2 Years,China,418.0,39.0,No,Beta,CatC
LG,Model-151,250.0,5 Star,French Door,Yes,Silver,Steel,2 Years,Germany,1704.0,8.0,Yes,Delta,CatC
Whirlpool,Model-152,500.0,4 Star,French Door,No,Blue,Aluminium,3 Years,Germany,1429.0,9.0,Yes,Alpha,CatA
Samsung,Model-153,350.0,4 Star,Side by Side,No,Red,Aluminium,1 Year,Germany,1913.0,4.0,Yes,Gamma,CatC
LG,Model-154,400.0,4 Star,Top Freezer,No,White,Steel,3 Years,Korea,378.0,49.0,Yes,Gamma,CatA
Bosch,Model-155,350.0,5 Star,Side by Side,Yes,Blue,Aluminium,2 Years,Germany,1026.0,39.0,Yes,Delta,CatC
Bosch,Model-156,350.0,5 Star,Top Freezer,No,Black,Plastic,3 Years,China,1965.0,55.0,No,Delta,CatB
Siemens,Model-157,300.0,4 Star,French Door,No,Black,Aluminium,1 Year,USA,1633.0,49.0,No,Delta,CatC
Siemens,Model-158,400.0,5 Star,Bottom Freezer,No,Silver,Aluminium,2 Years,Korea,791.0,94.0,Yes,Delta,CatC
Bosch,Model-159,300.0,3 Star,French Door,No,Blue,Aluminium,2 Years,Korea,1302.0,35.0,No,Alpha,CatC
LG,Model-160,500.0,3 Star,Side by Side,No,Black,Steel,1 Year,China,1844.0,39.0,No,Delta,CatA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Siemens,Model-163,400.0,3 Star,Top Freezer,No,Black,Aluminium,1 Year,Germany,1135.0,39.0,No,Beta,CatC
Samsung,Model-164,450.0,4 Star,French Door,Yes,White,Steel,1 Year,Korea,1370.0,69.0,Yes,Gamma,CatB
,,,,,,,,,,,,,,
Siemens,Model-166,450.0,4 Star,Bottom Freezer,No,Silver,Aluminium,2 Years,China,384.0,8.0,No,Beta,CatB
Siemens,Model-167,300.0,5 Star,Side by Side,No,Blue,Plastic,1 Year,USA,1550.0,21.0,No,Beta,CatA
Whirlpool,Model-168,400.0,3 Star,Top Freezer,Yes,White,Plastic,3 Years,Germany,327.0,20.0,No,Gamma,CatC
Siemens,Model-169,300.0,4 Star,Bottom Freezer,Yes,Silver,Aluminium,1 Year,Germany,1094.0,17.0,No,Alpha,CatB
LG,Model-170,500.0,4 Star,French Door,Yes,Blue,Steel,1 Year,China,1549.0,48.0,No,Delta,CatB
Whirlpool,Model-171,350.0,3 Star,Bottom Freezer,No,White,Plastic,1 Year,USA,853.0,36.0,No,Gamma,CatB
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Bosch,Model-174,250.0,4 Star,French Door,Yes,Silver,Steel,1 Year,Germany,434.0,50.0,Yes,Gamma,CatC
Whirlpool,Model-175,300.0,5 Star,Top Freezer,Yes,Black,Plastic,1 Year,Korea,1429.0,54.0,No,Beta,CatC
Samsung,Model-176,500.0,3 Star,French Door,No,Red,Aluminium,3 Years,USA,367.0,85.0,Yes,Delta,CatB
Bosch,Model-177,350.0,3 Star,Side by Side,No,Silver,Steel,3 Years,USA,592.0,84.0,Yes,Gamma,CatB
Whirlpool,Model-178,250.0,5 Star,Side by Side,No,White,Steel,3 Years,USA,692.0,34.0,Yes,Delta,CatA
Whirlpool,Model-179,450.0,5 Star,French Door,No,Blue,Aluminium,2 Years,USA,1414.0,57.0,Yes,Delta,CatC
LG,Model-180,250.0,5 Star,French Door,No,Red,Steel,1 Year,Korea,1978.0,29.0,Yes,Alpha,CatC
Samsung,Model-181,500.0,5 Star,Bottom Freezer,Yes,Blue,Plastic,2 Years,China,1747.0,75.0,No,Beta,CatB
Whirlpool,Model-182,300.0,3 Star,Side by Side,Yes,Blue,Steel,1 Year,Germany,1172.0,6.0,No,Alpha,CatC
Bosch,Model-183,250.0,4 Star,Side by Side,No,White,Plastic,3 Years,Korea,396.0,14.0,Yes,Gamma,CatC
LG,Model-184,350.0,4 Star,Top Freezer,Yes,Red,Plastic,2 Years,USA,864.0,5.0,Yes,Alpha,CatB
LG,Model-185,250.0,4 Star,Bottom Freezer,No,Red,Steel,3 Years,USA,552.0,61.0,No,Alpha,CatC
Whirlpool,Model-186,400.0,5 Star,French Door,Yes,Black,Aluminium,3 Years,China,1455.0,60.0,No,Alpha,CatC
Bosch,Model-187,450.0,4 Star,French Door,Yes,Blue,Steel,2 Years,USA,1083.0,63.0,Yes,Beta,CatB
Bosch,Model-188,350.0,3 Star,French Door,No,Black,Steel,2 Years,Germany,1125.0,51.0,Yes,Gamma,CatB
Bosch,Model-189,400.0,4 Star,Top Freezer,Yes,Red,Steel,3 Years,Germany,416.0,34.0,Yes,Beta,CatC
Siemens,Model-190,250.0,5 Star,Side by Side,Yes,Red,Plastic,1 Year,Germany,1904.0,94.0,No,Alpha,CatC
Samsung,Model-191,450.0,4 Star,French Door,No,Blue,Plastic,3 Years,USA,1897.0,95.0,Yes,Gamma,CatA
LG,Model-192,450.0,3 Star,Top Freezer,No,Red,Aluminium,3 Years,Germany,874.0,69.0,Yes,Beta,CatA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Siemens,Model-195,250.0,3 Star,Top Freezer,No,Blue,Aluminium,2 Years,China,1447.0,74.0,Yes,Delta,CatA
Samsung,Model-196,500.0,5 Star,Bottom Freezer,No,Red,Aluminium,1 Year,Korea,1590.0,51.0,Yes,Alpha,CatC
Bosch,Model-197,250.0,4 Star,French Door,Yes,Blue,Aluminium,1 Year,Germany,453.0,74.0,Yes,Delta,CatC
Whirlpool,Model-198,450.0,4 Star,Side by Side,No,Black,Aluminium,3 Years,Germany,1873.0,96.0,Yes,Beta,CatA
LG,Model-199,350.0,3 Star,Bottom Freezer,Yes,Black,Plastic,1 Year,China,1988.0,55.0,No,Beta,CatA
Samsung,Model-200,350.0,3 Star,Top Freezer,Yes,Blue,Steel,3 Years,China,767.0,63.0,Yes,Beta,CatA
Bosch,Model-201,400.0,5 Star,Bottom Freezer,No,Silver,Steel,1 Year,Korea,1097.0,60.0,Yes,Delta,CatB
Siemens,Model-202,250.0,3 Star,Side by Side,Yes,Silver,Plastic,3 Years,USA,1109.0,60.0,No,Alpha,CatB
Siemens,Model-203,400.0,5 Star,French Door,Yes,Red,Steel,2 Years,China,1656.0,74.0,No,Beta,CatA
Samsung,Model-204,250.0,4 Star,Side by Side,Yes,Blue,Steel,1 Year,Korea,1400.0,87.0,Yes,Gamma,CatC
Samsung,Model-205,450.0,3 Star,Side by Side,No,Blue,Aluminium,3 Years,USA,841.0,85.0,No,Alpha,CatB
Siemens,Model-206,450.0,5 Star,Top Freezer,No,White,Aluminium,1 Year,USA,869.0,52.0,No,Gamma,CatC
,,,,,,,,,,,,,,
Bosch,Model-208,250.0,5 Star,Bottom Freezer,No,Blue,Aluminium,3 Years,Korea,1219.0,8.0,Yes,Delta,CatA
Bosch,Model-209,400.0,5 Star,French Door,No,Red,Plastic,2 Years,USA,896.0,28.0,No,Beta,CatA
,,,,,,,,,,,,,,
Bosch,Model-211,350.0,3 Star,Bottom Freezer,Yes,Silver,Steel,2 Years,China,1928.0,44.0,Yes,Gamma,CatB
,,,,,,,,,,,,,,
Samsung,Model-213,400.0,5 Star,Side by Side,Yes,Red,Steel,2 Years,Korea,717.0,89.0,Yes,Delta,CatC
LG,Model-214,350.0,4 Star,Side by Side,No,Silver,Aluminium,1 Year,China,860.0,49.0,Yes,Delta,CatA
Bosch,Model-215,400.0,4 Star,Top Freezer,Yes,Red,Steel,2 Years,China,1049.0,11.0,No,Alpha,CatA
LG,Model-216,250.0,3 Star,Side by Side,Yes,Black,Aluminium,3 Years,USA,1533.0,12.0,No,Alpha,CatC
,,,,,,,,,,,,,,
LG,Model-218,400.0,5 Star,Side by Side,Yes,Blue,Steel,1 Year,Germany,325.0,65.0,Yes,Alpha,CatB
Bosch,Model-219,500.0,3 Star,Top Freezer,Yes,Red,Plastic,2 Years,China,433.0,8.0,Yes,Beta,CatC
Whirlpool,Model-220,400.0,5 Star,French Door,No,White,Plastic,1 Year,USA,497.0,19.0,No,Gamma,CatA
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Samsung,Model-223,400.0,3 Star,Bottom Freezer,Yes,Blue,Plastic,2 Years,China,558.0,13.0,No,Alpha,CatB
,,,,,,,,,,,,,,
Whirlpool,Model-225,250.0,4 Star,Top Freezer,Yes,Blue,Aluminium,1 Year,USA,717.0,68.0,Yes,Delta,CatB
LG,Model-226,300.0,5 Star,Side by Side,Yes,Red,Aluminium,1 Year,Germany,1884.0,3.0,No,Beta,CatC
Whirlpool,Model-227,300.0,3 Star,Side by Side,No,Black,Aluminium,3 Years,Germany,1055.0,71.0,Yes,Alpha,CatA
Whirlpool,Model-228,500.0,5 Star,French Door,No,Black,Aluminium,3 Years,China,661.0,3.0,No,Gamma,CatC
LG,Model-229,400.0,3 Star,Top Freezer,Yes,Red,Steel,1 Year,Germany,1533.0,42.0,No,Alpha,CatC
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
LG,Model-232,500.0,3 Star,Side by Side,No,Red,Steel,1 Year,China,809.0,22.0,No,Alpha,CatB
Whirlpool,Model-233,400.0,3 Star,Side by Side,No,Red,Plastic,3 Years,Germany,1488.0,9.0,Yes,Gamma,CatC
,,,,,,,,,,,,,,
Siemens,Model-235,500.0,3 Star,Bottom Freezer,No,White,Aluminium,2 Years,USA,370.0,68.0,Yes,Gamma,CatB
,,,,,,,,,,,,,,
Bosch,Model-237,350.0,4 Star,Top Freezer,Yes,Red,Steel,3 Years,China,1725.0,61.0,No,Alpha,CatC
Whirlpool,Model-238,250.0,3 Star,Top Freezer,Yes,Blue,Steel,3 Years,China,867.0,42.0,Yes,Alpha,CatC
,,,,,,,,,,,,,,
LG,Model-240,400.0,5 Star,Bottom Freezer,Yes,Silver,Aluminium,2 Years,USA,342.0,73.0,No,Delta,CatA
,,,,,,,,,,,,,,
LG,Model-242,250.0,5 Star,French Door,No,Blue,Aluminium,1 Year,China,1453.0,30.0,No,Gamma,CatB
,,,,,,,,,,,,,,
LG,Model-244,400.0,4 Star,Bottom Freezer,Yes,White,Aluminium,2 Years,Korea,1625.0,68.0,No,Gamma,CatA
Bosch,Model-245,450.0,3 Star,Side by Side,Yes,Black,Steel,2 Years,China,492.0,80.0,No,Alpha,CatC
Bosch,Model-246,450.0,3 Star,Side by Side,No,Silver,Plastic,3 Years,Korea,789.0,21.0,No,Beta,CatC
Whirlpool,Model-247,450.0,5 Star,French Door,No,Red,Steel,1 Year,USA,1169.0,15.0,No,Delta,CatB
,,,,,,,,,,,,,,
Bosch,Model-249,350.0,4 Star,French Door,Yes,Red,Steel,2 Years,Korea,1969.0,96.0,Yes,Beta,CatB
Bosch,Model-250,300.0,4 Star,Top Freezer,Yes,Blue,Steel,2 Years,Korea,1909.0,29.0,Yes,Beta,CatA
,,,,,,,,,,,,,,
Whirlpool,Model-252,450.0,3 Star,Bottom Freezer,Yes,Black,Steel,1 Year,Germany,1511.0,32.0,No,Alpha,CatC
,,,,,,,,,,,,,,
LG,Model-254,250.0,4 Star,Top Freezer,Yes,Red,Aluminium,1 Year,Germany,1086.0,69.0,Yes,Gamma,CatA
Siemens,Model-255,450.0,4 Star,French Door,No,Blue,Steel,1 Year,USA,1370.0,60.0,No,Delta,CatC
LG,Model-256,250.0,4 Star,Top Freezer,No,Black,Steel,2 Years,Germany,840.0,32.0,Yes,Beta,CatC
,,,,,,,,,,,,,,
Bosch,Model-258,450.0,4 Star,Side by Side,No,Red,Plastic,3 Years,Korea,1712.0,63.0,No,Alpha,CatB
Whirlpool,Model-259,500.0,5 Star,French Door,No,Silver,Plastic,2 Years,Germany,586.0,91.0,Yes,Alpha,CatA
LG,Model-260,450.0,4 Star,French Door,Yes,Black,Steel,1 Year,China,681.0,92.0,No,Beta,CatB
Samsung,Model-261,350.0,4 Star,French Door,No,Blue,Plastic,2 Years,China,908.0,58.0,Yes,Alpha,CatC
Samsung,Model-262,300.0,4 Star,Side by Side,Yes,Blue,Steel,2 Years,Korea,1676.0,56.0,Yes,Alpha,CatB
